Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,117,279,-1.9,"ZIM, AAPL, TEVA, PAII, RNG"
Financial Services,49,178,-2.5,"MFC, JACS, VNME, WENN, XRPN"
Healthcare,15,35,-1.9,"UTMD, A, AMRX, TTRX, OPK"
Technology,14,23,-1.2,"RSKD, AUDC, NET, RBRK, TWLO"
Industrials,7,20,-2.1,"MG, MTW, CIX, GIC, CYRX"
Communication Services,4,12,-2.3,"WBD, TJGC, DV, BATRA, GSAT"
Consumer Cyclical,4,7,-1.5,"JRSH, HZO, GBTG, JILL, BZH"
Utilities,2,5,-2.8,"TXNM, GNE, WTRG, NWE, BKH"
Real Estate,1,5,-3.5,"LXP, IHS, CHMI, PSTL, EQIX"
Basic Materials,0,1,-2.9,GGB
Consumer Defensive,0,2,-4.0,"ACU, KO"
Energy,0,5,-3.3,"INSW, LPG, NAT, TRGP, PSX"
