Sector,AT_High_Count,Near_High_Count,Avg_Pct_From_High,Top_Tickers
Unknown,114,278,-2.0,"TISI, TMO, TEVA, PAII, APAC"
Financial Services,53,184,-2.5,"DRDB, CCAQ, IGI, JACS, MFC"
Healthcare,15,35,-1.9,"AMRX, UTMD, TTRX, A, MEDP"
Technology,13,22,-1.3,"TWLO, AUDC, RBRK, NET, AMD"
Industrials,7,20,-2.1,"GIC, MTW, MG, CYRX, CIX"
Communication Services,4,12,-2.3,"TJGC, WBD, DV, BATRA, GSAT"
Consumer Cyclical,4,7,-1.5,"JRSH, HZO, GBTG, JILL, BZH"
Utilities,2,5,-2.8,"TXNM, GNE, WTRG, NWE, BKH"
Real Estate,1,5,-3.5,"LXP, IHS, CHMI, PSTL, EQIX"
Basic Materials,0,1,-2.9,GGB
Consumer Defensive,0,2,-4.0,"ACU, KO"
Energy,0,5,-3.3,"INSW, LPG, NAT, TRGP, PSX"
